,directors,actors,writers,producers,year,genres,certificates,duration,Budget,Gross US,Gross Worldwide,titles,Profits,profit-per-length,profit-per-budget,len-genres,MAD
180,J.A. Bayona,"['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall', 'Justice Smith', 'Daniella Pineda', 'James Cromwell', 'Toby Jones', 'Ted Levine', 'Jeff Goldblum', 'BD Wong']","['Derek Connolly', 'Colin Trevorrow', 'Michael Crichton']",Belén Atienza,2018,Action," PG-13
",128.0,170000000.0,417719760.0,1308467944.0,Jurassic World: Fallen Kingdom,1138467944.0,8894280.8125,6.696870258823529,2,2.3284534211101624
180,J.A. Bayona,"['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall', 'Justice Smith', 'Daniella Pineda', 'James Cromwell', 'Toby Jones', 'Ted Levine', 'Jeff Goldblum', 'BD Wong']","['Derek Connolly', 'Colin Trevorrow', 'Michael Crichton']",Patrick Crowley,2018,Action," PG-13
",128.0,170000000.0,417719760.0,1308467944.0,Jurassic World: Fallen Kingdom,1138467944.0,8894280.8125,6.696870258823529,2,2.3284534211101624
180,J.A. Bayona,"['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall', 'Justice Smith', 'Daniella Pineda', 'James Cromwell', 'Toby Jones', 'Ted Levine', 'Jeff Goldblum', 'BD Wong']","['Derek Connolly', 'Colin Trevorrow', 'Michael Crichton']",Frank Marshall,2018,Action," PG-13
",128.0,170000000.0,417719760.0,1308467944.0,Jurassic World: Fallen Kingdom,1138467944.0,8894280.8125,6.696870258823529,2,2.3284534211101624
181,Brad Bird,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Huck Milner', 'Catherine Keener', 'Eli Fucile', 'Bob Odenkirk', 'Samuel L. Jackson', 'Michael Bird', 'Sophia Bush']",['Brad Bird'],Nicole Paradis Grindle,2018,Animation," PG
",118.0,200000000.0,608581744.0,1242805359.0,Incredibles 2,1042805359.0,8837333.550847458,5.214026795,2,1.7301120133816452
181,Brad Bird,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Huck Milner', 'Catherine Keener', 'Eli Fucile', 'Bob Odenkirk', 'Samuel L. Jackson', 'Michael Bird', 'Sophia Bush']",['Brad Bird'],John Walker,2018,Animation," PG
",118.0,200000000.0,608581744.0,1242805359.0,Incredibles 2,1042805359.0,8837333.550847458,5.214026795,2,1.7301120133816452
182,James Wan,"['Jason Momoa', 'Amber Heard', 'Willem Dafoe', 'Patrick Wilson', 'Nicole Kidman', 'Dolph Lundgren', 'Yahya Abdul-Mateen II', 'Temuera Morrison', 'Ludi Lin', 'Michael Beach']","['David Leslie Johnson-McGoldrick', 'Will Beall', 'Geoff Johns', 'James Wan']",Rob Cowan,2018,Action," PG-13
",143.0,160000000.0,335061807.0,1148461807.0,Aquaman,988461807.0,6912320.328671329,6.17788629375,2,2.119038466783211
183,Ruben Fleischer,"['Tom Hardy', 'Michelle Williams', 'Riz Ahmed', 'Scott Haze', 'Reid Scott', 'Jenny Slate', 'Melora Walters', 'Woody Harrelson', 'Peggy Lu', 'Malcolm C. Murray']","['Jeff Pinkner', 'Scott Rosenberg', 'Kelly Marcel', 'Todd McFarlane', 'David Michelinie']",Avi Arad,2018,Action," PG-13
",112.0,100000000.0,213515506.0,856085151.0,Venom,756085151.0,6750760.276785715,7.56085151,2,2.677078053913276
183,Ruben Fleischer,"['Tom Hardy', 'Michelle Williams', 'Riz Ahmed', 'Scott Haze', 'Reid Scott', 'Jenny Slate', 'Melora Walters', 'Woody Harrelson', 'Peggy Lu', 'Malcolm C. Murray']","['Jeff Pinkner', 'Scott Rosenberg', 'Kelly Marcel', 'Todd McFarlane', 'David Michelinie']",Amy Pascal,2018,Action," PG-13
",112.0,100000000.0,213515506.0,856085151.0,Venom,756085151.0,6750760.276785715,7.56085151,2,2.677078053913276
183,Ruben Fleischer,"['Tom Hardy', 'Michelle Williams', 'Riz Ahmed', 'Scott Haze', 'Reid Scott', 'Jenny Slate', 'Melora Walters', 'Woody Harrelson', 'Peggy Lu', 'Malcolm C. Murray']","['Jeff Pinkner', 'Scott Rosenberg', 'Kelly Marcel', 'Todd McFarlane', 'David Michelinie']",Matt Tolmach,2018,Action," PG-13
",112.0,100000000.0,213515506.0,856085151.0,Venom,756085151.0,6750760.276785715,7.56085151,2,2.677078053913276
184,Christopher McQuarrie,"['Tom Cruise', 'Henry Cavill', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Sean Harris', 'Angela Bassett', 'Vanessa Kirby', 'Michelle Monaghan', 'Wes Bentley']","['Bruce Geller', 'Christopher McQuarrie']",J.J. Abrams,2018,Action," PG-13
",147.0,178000000.0,220159104.0,791115104.0,Mission: Impossible - Fallout,613115104.0,4170851.0476190476,3.4444668764044946,2,1.0160777956212192
