,Unnamed: 0,directors,actors,writers,producers,year,genres,certificates,duration,Budget,Gross US,Gross Worldwide,titles,Profits,profit-per-length,profit-per-budget,len-genres,macrogenres,MAD
175,778,['Albert Hughes'],"['Kodi Smit-McPhee', 'Jóhannes Haukur Jóhannesson', 'Marcin Kowalczyk', 'Jens Hultén', 'Natassia Malthe', 'Spencer Bogaert', 'Mercedes de la Zerda', 'Leonor Varela', 'Morgan Freeman', 'Chuck']","['Daniele Sebastian Wiedenhaupt', 'Albert Hughes']","['Albert Hughes', 'Andrew Rona']",2018,Action  Adventure," PG-13
",96.0,51000000.0,35857181.0,98203196.0,Alpha,47203196.0,491699.95833333326,0.925552862745098,2,Action,0.02212487406095836
176,789,['John Stevenson'],"['Kelly Asbury', 'Mary J. Blige', 'Emily Blunt', 'Julio Bonet', 'Gary Bradbury', 'Michael Caine', 'Gang Chi', 'Rosalie Craig', 'Jamie Demetriou', 'Johnny Depp']","['Ben Zazove', 'Andy Riley', 'Kevin Cecil', 'Emily Cook']","['David Furnish', 'Steve Hamilton Shaw', 'Carolyn Soper']",2018,Animation  Adventure," PG
",86.0,59000000.0,43242871.0,90497778.0,Sherlock Gnomes,31497778.0,366253.23255813954,0.5338606440677967,2,Animation,-0.151758885578934
177,791,['Otto Bathurst'],"['Taron Egerton', 'Jamie Foxx', 'Ben Mendelsohn', 'Eve Hewson', 'Jamie Dornan', 'Tim Minchin', 'Paul Anderson', 'F. Murray Abraham', 'Ian Peck', 'Cornelius Booth']","['Ben Chandler', 'David James Kelly']","['Jennifer Davisson', 'Leonardo DiCaprio', 'Howard Ellis', 'Adam Goodman']",2018,Action  Adventure," PG-13
",116.0,100000000.0,30824628.0,86489031.0,Robin Hood,-13510969.0,-116473.87068965516,-0.13510969,2,Action,-0.4487346007669268
179,793,['Christian Rivers'],"['Hera Hilmar', 'Robert Sheehan', 'Hugo Weaving', 'Jihae', 'Ronan Raftery', 'Leila George', 'Patrick Malahide', 'Stephen Lang', 'Colin Salmon', 'Mark Mitchinson']","['Fran Walsh', 'Philippa Boyens', 'Peter Jackson', 'Philip Reeve']","['Deborah Forte', 'Peter Jackson', 'Amanda Walker', 'Fran Walsh', 'Zane Weiner']",2018,Action  Adventure," PG-13
",128.0,100000000.0,15951040.0,83672673.0,Mortal Engines,-16327327.0,-127557.2421875,-0.16327327,2,Action,-0.46123724682881717
180,794,['Christian Gudegast'],"['Gerard Butler', 'Pablo Schreiber', ""O'Shea Jackson Jr."", '50 Cent', 'Meadow Williams', 'Maurice Compte', 'Brian Van Holt', 'Evan Jones', 'Mo McRae', 'Kaiwi Lyman']","['Christian Gudegast', 'Paul Scheuring']","['Gerard Butler', 'Mark Canton', 'Alan Siegel', 'Tucker Tooley']",2018,Action  Crime," R
",140.0,30000000.0,44947622.0,80509622.0,Den of Thieves,50509622.0,360783.0142857143,1.6836540666666666,2,Action,0.35866841830229346
181,799,['Steve McQueen'],"['Viola Davis', 'Liam Neeson', 'Jon Bernthal', 'Manuel Garcia-Rulfo', 'Coburn Goss', 'Michelle Rodriguez', 'Alejandro Verdin', 'Bailey Rhyse Walters', 'Elizabeth Debicki', 'Carrie Coon']","['Gillian Flynn', 'Steve McQueen', 'Lynda La Plante']","['Iain Canning', 'Steve McQueen', 'Arnon Milchan', 'Emile Sherman']",2018,Crime  Drama," R
",129.0,42000000.0,42402632.0,75984700.0,Widows,33984700.0,263447.2868217054,0.8091595238095238,2,Crime,-0.029545571268546338
182,800,['Stefano Sollima'],"['Benicio Del Toro', 'Josh Brolin', 'Isabela Merced', 'Jeffrey Donovan', 'Catherine Keener', 'Manuel Garcia-Rulfo', 'Matthew Modine', 'Shea Whigham', 'Elijah Rodriguez', 'Howard Ferguson Jr.']",['Taylor Sheridan'],"['Basil Iwanyk', 'Thad Luckinbill', 'Trent Luckinbill', 'Edward L. McDonnell', 'Molly Smith']",2018,Action  Crime," R
",122.0,35000000.0,50072235.0,75837743.0,Sicario: Day of the Soldado,40837743.0,334735.5983606557,1.1667926571428568,2,Action,0.1292183531356496
183,802,['Susanna Fogel'],"['Justin Theroux', 'Blanka Györfi-Tóth', 'Vilma Szécsi', 'Mila Kunis', 'Kate McKinnon', 'Lolly Adefope', 'Dustin Demri-Burns', 'David Iserson', 'Sam Heughan', 'Hasan Minhaj']","['Susanna Fogel', 'David Iserson']","['Howard Ellis', 'Adam Goodman', 'Brian Grazer', 'Erica Huggins']",2018,Action  Adventure," R
",117.0,40000000.0,33562069.0,75320680.0,The Spy Who Dumped Me,35320680.0,301886.15384615393,0.883017,2,Action,0.003241946647642671
184,803,['Peter Segal'],"['Jennifer Lopez', 'Vanessa Hudgens', 'Leah Remini', 'Treat Williams', 'Milo Ventimiglia', 'Annaleigh Ashford', 'Charlyne Yi', 'Alan Aisenberg', 'Freddie Stroma', 'Dave Foley']","['Justin Zackham', 'Elaine Goldsmith-Thomas']","['Elaine Goldsmith-Thomas', 'Jennifer Lopez', 'Benny Medina', 'Justin Zackham']",2018,Comedy  Drama," PG-13
",103.0,16000000.0,39282227.0,72282227.0,Second Act,56282227.0,546429.3883495146,3.5176391875,2,Comedy,1.1728286510764112
187,807,['Greg Berlanti'],"['Nick Robinson', 'Jennifer Garner', 'Josh Duhamel', 'Katherine Langford', 'Alexandra Shipp', 'Logan Miller', 'Keiynan Lonsdale', 'Jorge Lendeborg Jr.', 'Talitha Eliana Bateman', 'Tony Hale']","['Becky Albertalli', 'Elizabeth Berger', 'Isaac Aptaker']","['Marty Bowen', 'Wyck Godfrey', 'Isaac Klausner', 'Pouya Shahbazian']",2018,Comedy  Drama," PG-13
",110.0,17000000.0,40826341.0,66316289.0,"Love, Simon",49316289.0,448329.9,2.900958176470588,2,Comedy,0.8990657127713565
188,812,['Baltasar Kormákur'],"['Shailene Woodley', 'Sam Claflin', 'Jeffrey Thomas', 'Elizabeth Hawthorne', 'Grace Palmer', 'Tami Ashcraft', 'Siale Tunoka', 'Kael Damlamian', 'Lei-Ming Caine', 'Neil Andrea']","['Aaron Kandell', 'Jordan Kandell', 'David Branson Smith', 'Tami Ashcraft', 'Susea McGearhart']","['Aaron Kandell', 'Jordan Kandell', 'Baltasar Kormákur', 'Shailene Woodley']",2018,Action  Adventure," PG-13
",96.0,35000000.0,31445012.0,59945012.0,Adrift,24945012.0,259843.875,0.7127146285714285,2,Action,-0.07236031249242503
189,813,['Clint Eastwood'],"['Ray Corasani', 'Alek Skarlatos', 'Anthony Sadler', 'Spencer Stone', 'Judy Greer', 'Jenna Fischer', 'Irene White', 'William Jennings', 'Bryce Gheisar', 'Stephen Matthew Smith']","['Dorothy Blyskal', 'Anthony Sadler', 'Alek Skarlatos', 'Spencer Stone', 'Jeffrey E. Stern']","['Clint Eastwood', 'Jessica Meier', 'Tim Moore', 'Kristina Rivera']",2018,Biography  Drama," PG-13
",94.0,30000000.0,36276286.0,57076286.0,The 15:17 to Paris,27076286.0,288045.59574468085,0.9025428666666668,2,Biography,0.011910056312145504
190,814,['Nick Park'],"['Eddie Redmayne', 'Tom Hiddleston', 'Maisie Williams', 'Timothy Spall', 'Miriam Margolyes', 'Rob Brydon', 'Kayvan Novak', 'Richard Ayoade', 'Selina Griffiths', 'Johnny Vegas']","['Mark Burton', 'James Higginson', 'Nick Park']","['Richard Beek', 'Peter Lord', 'Nick Park', 'Carla Shelley', 'David Sproxton']",2018,Animation  Adventure," PG
",89.0,50000000.0,8267544.0,54622814.0,Early Man,4622814.0,51941.730337078654,0.09245628,2,Animation,-0.3477113367273136
192,816,"['Aaron Horvath', 'Peter Rida Michail']","['Greg Cipes', 'Scott Menville', 'Khary Payton', 'Tara Strong', 'Hynden Walch', 'Will Arnett', 'Kristen Bell', 'Eric Bauza', 'Michael Bolton', 'Kal-El Cage']","['Michael Jelenic', 'Aaron Horvath', 'Jerry Siegel', 'Joe Shuster']","['Will Arnett', 'Aaron Horvath', 'Michael Jelenic', 'Peter Rida Michail', 'Peggy Regan']",2018,Animation  Adventure," PG
",84.0,10000000.0,29790236.0,52090236.0,Teen Titans GO! to the Movies,42090236.0,501074.2380952381,4.2090236,2,Animation,1.4797546385465956
193,818,['James McTeigue'],"['Gabrielle Union', 'Billy Burke', 'Richard Cabral', 'Ajiona Alexus', 'Levi Meaden', 'Seth Carr', 'Mark Furze', 'Jason George', 'Christa Miller', 'Damien Leake']","['Ryan Engle', 'Jaime Primak Sullivan']","['Sheila Hanahan', 'James Lopez', 'Will Packer', 'Craig Perry', 'Gabrielle Union']",2018,Action  Crime," PG-13
",88.0,6000000.0,46840590.0,51411620.0,Breaking In,45411620.0,516041.1363636364,7.568603333333333,2,Action,2.971171437212349
194,819,['David Leitch'],"['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison', 'Zazie Beetz', 'T.J. Miller', 'Leslie Uggams', 'Karan Soni', 'Brianna Hildebrand', 'Jack Kesy']","['Rhett Reese', 'Paul Wernick', 'Ryan Reynolds']","['Simon Kinberg', 'Ryan Reynolds', 'Lauren Shuler Donner']",2018,Action  Adventure," R
",119.0,110000000.0,324591735.0,785794179.0,Once Upon a Deadpool 2018 Re-release,675794179.0,5678942.680672268,6.143583445454547,2,Action,2.338562965941892
195,820,['Eli Roth'],"['Bruce Willis', ""Vincent D'Onofrio"", 'Elisabeth Shue', 'Camila Morrone', 'Dean Norris', 'Beau Knapp', 'Kimberly Elise', 'Len Cariou', 'Jack Kesy', 'Ronnie Gene Blevins']","['Joe Carnahan', 'Brian Garfield', 'Wendell Mayes']",['Roger Birnbaum'],2018,Action  Crime," R
",107.0,30000000.0,34017028.0,49562710.0,Death Wish,19562710.0,182829.06542056074,0.6520903333333333,2,Action,-0.09927323003037485
196,823,['Josie Rourke'],"['Angela Bain', 'Richard Cant', 'Guy Rhys', 'Thom Petty', 'Saoirse Ronan', 'Izuka Hoyle', 'Margot Robbie', 'John Ramm', 'Simon Russell Beale', 'Abby Cassidy']","['Beau Willimon', 'John Guy']","['Tim Bevan', 'Eric Fellner', 'Debra Hayward']",2018,Biography  Drama," R
",124.0,25000000.0,16468499.0,46710283.0,Mary Queen of Scots,21710283.0,175082.92741935485,0.86841132,2,Biography,-0.003241946647642671
198,831,['Julius Avery'],"['Jovan Adepo', 'Wyatt Russell', 'Mathilde Ollivier', 'Pilou Asbæk', 'John Magaro', 'Iain De Caestecker', 'Jacob Anderson', 'Dominic Applewhite', 'Gianny Taufer', 'Joseph Quinn']","['Billy Ray', 'Mark L. Smith']","['J.J. Abrams', 'Lindsey Weber']",2018,Action  Adventure," R
",110.0,38000000.0,21704844.0,41657844.0,Overlord,3657844.0,33253.12727272727,0.09625905263157897,2,Action,-0.34602317349428435
199,833,['Jennifer Yuh Nelson'],"['Amandla Stenberg', 'Mandy Moore', 'Bradley Whitford', 'Harris Dickinson', 'Patrick Gibson', 'Skylan Brooks', 'Miya Cech', 'Gwendoline Christie', 'Wade Williams', ""Mark O'Brien""]","['Chad Hodge', 'Alexandra Bracken']","['Dan Levine', 'Shawn Levy']",2018,Action  Adventure," PG-13
",104.0,34000000.0,12695691.0,41142379.0,The Darkest Minds,7142379.0,68676.72115384616,0.2100699705882353,2,Action,-0.2954991412089385
200,838,['Mimi Leder'],"['Felicity Jones', 'Armie Hammer', 'Justin Theroux', 'Sam Waterston', 'Kathy Bates', 'Cailee Spaeny', 'Jack Reynor', 'Stephen Root', 'Chris Mulkey', 'Gary Werntz']",['Daniel Stiepleman'],"['Robert W. Cort', 'Jonathan King']",2018,Biography  Drama," PG-13
",120.0,20000000.0,24622687.0,38673750.0,On the Basis of Sex,18673750.0,155614.58333333337,0.9336875,2,Biography,0.025736080109333887
201,842,['Fede Alvarez'],"['Claire Foy', 'Beau Gadsdon', 'Sverrir Gudnason', 'LaKeith Stanfield', 'Sylvia Hoeks', 'Carlotta von Falkenhayn', 'Stephen Merchant', 'Christopher Convery', 'Claes Bang', 'Synnøve Macody Lund']","['David Lagercrantz', 'Stieg Larsson', 'Jay Basu', 'Fede Alvarez', 'Steven Knight']","['Eli Bush', 'Elizabeth Cantillon', 'Berna Levin', 'Amy Pascal']",2018,Action  Crime," R
",115.0,43000000.0,14841338.0,35164920.0,The Girl in the Spider's Web,-7835080.0,-68131.13043478262,-0.18221116279069768,2,Action,-0.46964433750124307
202,843,['George Tillman Jr.'],"['Amandla Stenberg', 'Regina Hall', 'Russell Hornsby', 'Anthony Mackie', 'Issa Rae', 'Common', 'Algee Smith', 'Sabrina Carpenter', 'K.J. Apa', 'Dominique Fishback']","['Audrey Wells', 'Angie Thomas']","['Marty Bowen', 'Wyck Godfrey', 'Robert Teitel', 'George Tillman Jr.']",2018,Crime  Drama," PG-13
",133.0,23000000.0,29719483.0,34934009.0,The Hate U Give,11934009.0,89729.39097744359,0.5188699565217392,2,Crime,-0.15841369510999306
203,844,['Tyler Perry'],"['Tiffany Haddish', 'Tika Sumpter', 'Omari Hardwick', 'Mehcad Brooks', 'Amber Riley', 'Whoopi Goldberg', 'Missi Pyle', 'PJ Morton', 'Michael Blackson', 'Jon Rudnitsky']",['Tyler Perry'],"['Will Areu', 'Mark E. Swinton']",2018,Comedy  Drama," R
",110.0,19000000.0,31713110.0,33705333.0,Nobody's Fool,14705333.0,133684.84545454546,0.7739648947368422,2,Comedy,-0.045169507947592724
204,847,['Drew Goddard'],"['Jeff Bridges', 'Cynthia Erivo', 'Dakota Johnson', 'Jon Hamm', 'Chris Hemsworth', 'Cailee Spaeny', 'Lewis Pullman', 'Nick Offerman', 'Xavier Dolan', 'Shea Whigham']",['Drew Goddard'],"['Drew Goddard', 'Jeremy Latcham']",2018,Crime  Drama," R
",141.0,32000000.0,17839115.0,31882724.0,Bad Times at the El Royale,-117276.0,-831.7446808510637,-0.003664875,2,Crime,-0.39038236008532085
206,860,['Yann Demange'],"['Matthew McConaughey', 'Richie Merritt', 'Bel Powley', 'Jennifer Jason Leigh', 'Brian Tyree Henry', 'Rory Cochrane', 'RJ Cyler', 'Jonathan Majors', 'Eddie Marsan', 'Taylour Paige']","['Andy Weiss', 'Logan Miller', 'Noah Miller']","['Darren Aronofsky', 'Scott Franklin', 'John Lesher', 'Julie Yorn']",2018,Crime  Drama," R
",111.0,29000000.0,24011188.0,25957482.0,White Boy Rick,-3042518.0,-27410.07207207207,-0.10491441379310344,2,Crime,-0.43533002467412013
207,871,['Babak Najafi'],"['Taraji P. Henson', 'Billy Brown', ""Jahi Di'Allo Winston"", 'Neal McDonough', 'Margaret Avery', 'Xander Berkeley', 'Rade Serbedzija', 'Erik LaRay Harvey', 'Danny Glover', 'Adobuere Ebiama']","['John Stuart Newman', 'Christian Swegal', 'Steve Antin']","['Tai Duncan', 'Mark Anthony Little', 'Paul Schiff']",2018,Action  Crime," R
",89.0,14000000.0,20877013.0,21753365.0,Proud Mary,7753365.0,87116.46067415731,0.5538117857142857,2,Action,-0.14290198377395416
208,875,['Director X.'],"['Trevor Jackson', 'Jason Mitchell', 'Michael Kenneth Williams', 'Lex Scott Davis', 'Jennifer Morrison', 'Kaalan Walker', 'Esai Morales', 'Andrea Londo', 'Big Bank Black', 'Big Boi']",['Alex Tse'],"['Future', 'Joel Silver']",2018,Action  Crime," R
",116.0,16000000.0,20545116.0,20780685.0,SuperFly,4780685.0,41212.80172413793,0.2987928125,2,Action,-0.2561124478259293
209,890,['Chris Weitz'],"['Oscar Isaac', 'Ben Kingsley', 'Mélanie Laurent', 'Lior Raz', 'Nick Kroll', 'Michael Aronov', 'Ohad Knoller', 'Greg Hill', 'Torben Liebrecht', 'Michael Benjamin Hernandez']",['Matthew Orton'],"['Fred Berger', 'Oscar Isaac', 'Brian Kavanaugh-Jones', 'Jason Spire']",2018,Biography  Drama," PG-13
",122.0,24000000.0,17612099.0,17612099.0,Operation Finale,-6387901.0,-52359.844262295075,-0.26616254166666664,2,Biography,-0.5069128373330792
210,893,['Felix van Groeningen'],"['Steve Carell', 'Maura Tierney', 'Jack Dylan Grazer', 'Oakley Bull', 'Christian Convery', 'Timothée Chalamet', 'Amy Aquino', 'Carlton Wilborn', 'Stefanie Scott', 'Marypat Farrell']","['Luke Davies', 'Felix van Groeningen', 'David Sheff', 'Nic Sheff']","['Dede Gardner', 'Jeremy Kleiner', 'Brad Pitt']",2018,Biography  Drama," R
",120.0,25000000.0,7649973.0,16636604.0,Beautiful Boy,-8363396.0,-69694.96666666666,-0.33453584,2,Biography,-0.5372657665113196
211,899,['Jason Reitman'],"['Charlize Theron', 'Mackenzie Davis', 'Ron Livingston', 'Asher Miles Fallica', 'Lia Frankland', 'Mark Duplass', 'Elaine Tan', 'Gameela Wright', 'Tattiawna Jones', 'Stormy Ent']",['Diablo Cody'],"['Diablo Cody', 'A.J. Dix', 'Helen Estabrook', 'Aaron L. Gilbert']",2018,Comedy  Drama," R
",95.0,13000000.0,9369755.0,15636462.0,Tully,2636462.0,27752.23157894737,0.20280476923076926,2,Comedy,-0.2987243789500482
212,902,['Bo Burnham'],"['Elsie Fisher', 'Josh Hamilton', 'Emily Robinson', 'Jake Ryan', 'Daniel Zolghadri', 'Fred Hechinger', 'Imani Lewis', 'Luke Prael', 'Catherine Oliviere', 'Nora Mullins']",['Bo Burnham'],"['Eli Bush', 'Scott Rudin', 'Christopher Storer', 'Lila Yacoub']",2018,Comedy  Drama," R
",93.0,2000000.0,13539709.0,14347433.0,Eighth Grade,12347433.0,132768.09677419355,6.1737165,2,Comedy,2.351939919999062
213,903,['Vijay Krishna Acharya'],"['Aamir Khan', 'Katrina Kaif', 'Amitabh Bachchan', 'Lloyd Owen', 'Fatima Sana Shaikh', 'Joe Azzopardi', 'Ronit Roy', 'Terence J. Rotolo', 'Satyadev Kancharana', 'Mohammed Zeeshan Ayyub']",['Vijay Krishna Acharya'],['Aditya Chopra'],2018,Action  Adventure," Not Rated
",164.0,20000000.0,1449848.0,14341431.0,Thugs of Hindostan,-5658569.0,-34503.469512195115,-0.28292845,2,Action,-0.5143557198713703
214,909,['Drew Pearce'],"['Jodie Foster', 'Sterling K. Brown', 'Sofia Boutella', 'Jeff Goldblum', 'Brian Tyree Henry', 'Jenny Slate', 'Zachary Quinto', 'Charlie Day', 'Dave Bautista', 'Kenneth Choi']",['Drew Pearce'],"['Simon Cornwell', 'Stephen Cornwell', 'Marc Platt', 'Adam Siegel']",2018,Action  Crime," R
",94.0,15000000.0,6708147.0,13313581.0,Hotel Artemis,-1686419.0,-17940.627659574468,-0.11242793333333333,2,Action,-0.43866549820023404
215,910,['Jacques Audiard'],"['John C. Reilly', 'Joaquin Phoenix', 'Jake Gyllenhaal', 'Riz Ahmed', 'Rebecca Root', 'Allison Tolman', 'Rutger Hauer', 'Carol Kane', 'Patrice Cossonneau', 'Zac Abbott']","['Jacques Audiard', 'Thomas Bidegain', 'Patrick DeWitt']","['Pascal Caucheteux', 'Michael De Luca', 'Alison Dickey', 'Michel Merkt']",2018,Crime  Drama," R
",122.0,38000000.0,3143056.0,13143056.0,The Sisters Brothers,-24856944.0,-203745.4426229508,-0.6541301052631578,2,Crime,-0.6791431124309498
216,918,['Joel Edgerton'],"['Lucas Hedges', 'Nicole Kidman', 'Russell Crowe', 'Madelyn Cline', 'Victor McCay', 'David Joseph Craig', 'Troye Sivan', 'Emily Hinkler', 'Devin Michael', 'Matt Burke']","['Garrard Conley', 'Joel Edgerton']","['Joel Edgerton', 'Steve Golin', 'Kerry Kohansky-Roberts']",2018,Biography  Drama," R
",115.0,11000000.0,6788692.0,11853081.0,Boy Erased,853081.0,7418.095652173914,0.07755281818181818,2,Biography,-0.3543274241781854
217,940,['Deon Taylor'],"['Priscilla Quintana', 'Luke Goss', 'Paula Patton', 'William Fichtner', 'Jeff Wiesen', 'Omar Epps', 'Laz Alonso', 'Roselyn Sanchez', 'Ramsey Hanchette', 'Dawn Olivieri']",['Deon Taylor'],"['Roxanne Avent', 'Paula Patton', 'Deon Taylor']",2018,Action  Crime," R
",96.0,4000000.0,9186156.0,9515914.0,Traffik,5515914.0,57457.4375,1.3789784999999999,2,Action,0.2234139238900337
218,946,['Oliver Daly'],"['Alex Neustaedter', 'Becky G', 'Alex MacNicoll', 'Dominic Rains', 'Thomas Jane', 'Lou Taylor Pucci', 'Patricia De Leon', 'Niko Guardado', 'Marie-Françoise Theodore', 'Ted McGinley']",['Oliver Daly'],"['David S. Goyer', 'Gary Lucchesi', 'Eric Reid', 'Tom Rosenberg']",2018,Action  Adventure," PG
",98.0,10000000.0,6501381.0,8467697.0,A-X-L,-1532303.0,-15635.744897959185,-0.15323029999999999,2,Action,-0.4567788754385258
219,959,['Ken Marino'],"['Nina Dobrev', 'Vanessa Hudgens', 'Adam Pally', 'Eva Longoria', 'Rob Corddry', 'Tone Bell', 'Jon Bass', 'Michael Cassidy', 'Finn Wolfhard', 'Ron Cephas Jones']","['Elissa Matsueda', 'Erica Oyama']","['Mickey Liddell', 'Jennifer Monroe', 'Pete Shilaimon']",2018,Comedy  Drama," PG
",113.0,10000000.0,6809080.0,6819044.0,Dog Days,-3180956.0,-28150.05309734513,-0.3180956,2,Comedy,-0.5299674577773968
220,964,['Harold Cronk'],"['Samuel Hunt', 'Merritt Patterson', 'Bobby Campo', 'David Sakurai', 'Vincenzo Amato', 'Maddalena Ischiale', 'Gianna Simone', 'Ali Eagle', 'Will Graham', 'Andrew Caldwell']","['Richard Friedenberg', 'Ken Hixon', 'Laura Hillenbrand']","['Matthew Baer', 'Mike Elliott']",2018,Biography  Drama," PG-13
",98.0,6000000.0,6216897.0,6216897.0,Unbroken: Path to Redemption,216897.0,2213.234693877551,0.0361495,2,Biography,-0.37270758156638334
221,970,['Karyn Kusama'],"['Nicole Kidman', 'Toby Kebbell', 'Tatiana Maslany', 'Sebastian Stan', 'Scoot McNairy', 'Bradley Whitford', 'Toby Huss', 'James Jordan', 'Beau Knapp', 'Jade Pettyjohn']","['Phil Hay', 'Matt Manfredi']","['Fred Berger', 'Phil Hay', 'Matt Manfredi']",2018,Action  Crime," R
",121.0,9000000.0,1533324.0,5580940.0,Destroyer,-3419060.0,-28256.69421487603,-0.3798955555555555,2,Action,-0.5574022856988353
222,976,['Richard Lanni'],"['Logan Lerman', 'Helena Bonham Carter', 'Gérard Depardieu', 'Jordan Beck', 'Jim Pharr', 'Jason Ezzell', 'Guillaume Sentou', 'Christophe Lemoine', 'Nicholas Rulon', 'Brian Cook']","['Richard Lanni', 'Mike Stokey']","['Emily Cantrill', 'Laurent Rodon']",2018,Animation  Adventure," PG
",84.0,25000000.0,4015935.0,4932694.0,Sgt. Stubby: An American Hero,-20067306.0,-238896.5,-0.80269224,2,Animation,-0.7450942375653828
223,1009,['Cory Finley'],"['Olivia Cooke', 'Anya Taylor-Joy', 'Anton Yelchin', 'Paul Sparks', 'Francie Swift', 'Kaili Vernoff', 'Svetlana Orlova', 'Alyssa Fishenden', 'Jackson Damon', 'James Haddad']",['Cory Finley'],"['Andrew Duncan', 'Nat Faxon', 'Jim Rash', 'Alex Saks', 'Kevin J. Walsh']",2018,Crime  Drama," R
",92.0,6000000.0,3072605.0,3187255.0,Thoroughbreds,-2812745.0,-30573.315217391304,-0.4687908333333333,2,Crime,-0.596865528462326
224,1017,['James Cox'],"['Ansel Elgort', 'Kevin Spacey', 'Taron Egerton', 'Emma Roberts', 'Ryan Rottman', 'Jeremy Irvine', 'Thomas Cocquerel', 'Bokeem Woodbine', 'Barney Harris', 'Waleed Zuaiter']","['James Cox', 'Captain Mauzner']","['Cassian Elwes', 'Christopher Lemole', 'Holly Wiersma', 'Tim Zajaros']",2018,Biography  Drama," R
",108.0,15000000.0,1349.0,2713955.0,Billionaire Boys Club,-12286045.0,-113759.67592592591,-0.8190696666666667,2,Biography,-0.7523646616030194
225,1043,['David Robert Mitchell'],"['Andrew Garfield', 'Wendy Vanden Heuvel', 'Deborah Geffner', 'Riley Keough', 'Riki Lindhome', 'Jeannine Cota', 'Chris Gann', 'Callie Hernandez', 'Jessica Makinson', 'Reese Hartwig']",['David Robert Mitchell'],"['Chris Bender', 'Michael De Luca', 'Adele Romanski', 'Jake Weiner']",2018,Crime  Drama," R
",139.0,8500000.0,46083.0,2053469.0,Under the Silver Lake,-6446531.0,-46377.920863309344,-0.7584154117647058,2,Crime,-0.725438444084263
226,1063,['Sharat Katariya'],"['Anushka Sharma', 'Varun Dhawan', 'Raghuvir Yadav', 'Komal Chhabria', 'Ashish Verma', 'Siddharth Bhardwaj', 'Namit Das', 'Sidharth Bhardwaj', 'Jeetendra Shastri', 'Singh Bhupesh']",['Sharat Katariya'],"['Aditya Chopra', 'Maneesh Sharma']",2018,Comedy  Drama," Not Rated
",122.0,6250000.0,790628.0,1594164.0,Made in India,-4655836.0,-38162.590163934416,-0.74493376,2,Comedy,-0.7194535401642437
228,1103,['Ben Lewin'],"['Paul Rudd', 'Pierfrancesco Favino', 'Tom Wilkinson', 'Connie Nielsen', 'Anna Geislerová', 'Mark Strong', 'Simon Perina', 'John Schwab', 'Krystof Dupal', 'Jirí Vavrusa']","['Robert Rodat', 'Nicholas Dawidoff']","['Kevin Scott Frakes', 'Tatiana Kelly', 'Buddy Patrick', 'Jim Young']",2018,Biography  Drama," R
",98.0,14000000.0,725223.0,953953.0,The Catcher Was a Spy,-13046047.0,-133122.92857142858,-0.9318605,2,Biography,-0.8024358481564453
229,1121,['Robert Zemeckis'],"['Tom Hanks', 'Leslie Zemeckis', 'Eddie Deezen', 'Nona Gaye', 'Peter Scolari', 'Brendan King', 'Andy Pellick', 'Josh Eli', 'Mark Mendonca', 'Rolondas Hendricks']","['Chris Van Allsburg', 'Robert Zemeckis', 'William Broyles Jr.']","['Gary Goetzman', 'Steve Starkey', 'William Teitler', 'Robert Zemeckis']",2018,Animation  Adventure," G
",100.0,165000000.0,187224490.0,313500433.0,The Polar Express 2018 Re-release,148500433.0,1485004.33,0.9000026242424243,2,Animation,0.01078236757578091
230,1126,['Ethan Hawke'],"['Ben Dickey', 'Alia Shawkat', 'Charlie Sexton', 'Josh Hamilton', 'Kris Kristofferson', 'Richard Linklater', 'Sam Rockwell', 'Steve Zahn', 'Gurf Morlix', 'Ethan Hawke']","['Ethan Hawke', 'Sybil Rosen']","['Ethan Hawke', 'Ryan Hawke', 'Jake Seal', 'John Sloss']",2018,Biography  Drama," R
",129.0,1200000.0,704955.0,704955.0,Blaze,-495045.0,-3837.558139534884,-0.4125375,2,Biography,-0.5718930101792026
231,1132,['Hayao Miyazaki'],"['Tomoko Yamaguchi', 'Kazushige Nagashima', 'Yûki Amami', 'George Tokoro', 'Yuria Nara', 'Hiroki Doi', 'Rumi Hiiragi', 'Akiko Yano', 'Kazuko Yoshiyuki', 'Tomoko Naraoka']",['Hayao Miyazaki'],"['Steve Alpert', 'Toshio Suzuki']",2018,Animation  Adventure," G
",101.0,34000000.0,15743471.0,203204882.0,Ponyo 2018 Re-release,169204882.0,1675295.8613861387,4.976614176470588,2,Animation,1.820510795897834
233,1157,['Peter Yates'],"['Steve McQueen', 'Robert Vaughn', 'Jacqueline Bisset', 'Don Gordon', 'Robert Duvall', 'Simon Oakland', 'Norman Fell', 'Georg Stanford Brown', 'Justin Tarr', 'Carl Reindel']","['Alan Trustman', 'Harry Kleiner', 'Robert L. Fish']","[""Philip D'Antoni""]",2018,Action  Crime," M/PG
",114.0,5500000.0,511350.0,511350.0,Bullitt 2018 Re-release,-4988650.0,-43760.087719298244,-0.9070272727272728,2,Action,-0.7914116441608811
