,Unnamed: 0,directors,actors,writers,producers,year,genres,certificates,duration,Budget,Gross US,Gross Worldwide,titles,Profits,profit-per-length,profit-per-budget,len-genres,macrogenres,MAD
39,3469,['Ramin Bahrani'],"['Michael Shannon', 'Douglas M. Griffin', 'Randy Austin', 'Carl Palmer', 'Andrew Garfield', 'James Brown', 'Luke Sexton', 'Noah Lomax', 'Alex Aristidis', 'Tim Guinee']","['Ramin Bahrani', 'Bahareh Azimi', 'Amir Naderi']","['Ashok Amritraj', 'Ramin Bahrani', 'Justin Nappi', 'Kevin Turen']",2015,Drama," R
",112.0,8000000.0,1411927.0,1828232.0,99 Homes,-6171768.0,-55105.071428571435,-0.771471,1,Drama,-0.7312342058033222
40,3477,['William Riead'],"['Juliet Stevenson', 'Max von Sydow', 'Rutger Hauer', 'Priya Darshini', 'Kranti Redkar', 'Aapo Pukk', 'Mahabanoo Mody-Kotwal', 'Kaizaad Kotwal', 'Vijay Maurya', 'Tillotama Shome']",['William Riead'],"['Tony Cordeaux', 'Lisa Riead', 'William Riead']",2015,Drama," PG
",114.0,20000000.0,1647416.0,1647416.0,The Letters,-18352584.0,-160987.57894736846,-0.9176291999999999,1,Drama,-0.7961181532149435
41,3498,['Joachim Trier'],"['Gabriel Byrne', 'Isabelle Huppert', 'Jesse Eisenberg', 'Devin Druid', 'Amy Ryan', 'Ruby Jerins', 'Megan Ketch', 'David Strathairn', 'Rachel Brosnahan', 'Russell Posner']","['Joachim Trier', 'Eskil Vogt']","['Joshua Astrachan', 'Albert Berger', 'Alexandre Mallet-Guy', 'Thomas Robsahm']",2015,Drama," R
",109.0,11000000.0,163807.0,1160724.0,Louder Than Bombs,-9839276.0,-90268.58715596332,-0.8944796363636364,1,Drama,-0.7858413772996421
42,3547,['Wim Wenders'],"['James Franco', 'Peter Miller', 'Gilbert Wahiakeron', 'Claude Chamberlain', 'Rachel McAdams', 'Jack Fulton', 'Charlotte Gainsbourg', 'Céline Bonnier', 'Mary Katherine Harvey', 'Patrick Bauchau']",['Bjørn Olaf Johannessen'],['Gian-Piero Ringel'],2015,Drama," Not Rated
",118.0,12000000.0,9233.0,554953.0,Every Thing Will Be Fine,-11445047.0,-96991.92372881355,-0.9537539166666666,1,Drama,-0.8121549832830459
43,3562,['Jamal Hill'],"['Keke Palmer', 'Cory Hardrict', 'Romeo Miller', 'Eric D. Hill Jr.', 'Macy Gray', 'Quincy Brown', 'Faizon Love', 'Logan Browning', 'Malik Yoba', 'Justin Martin']",['Jamal Hill'],"['Charles E. Alston', 'Ron Robinson']",2015,Drama," R
",89.0,1900000.0,478595.0,478595.0,Brotherly Love,-1421405.0,-15970.842696629214,-0.7481078947368421,1,Drama,-0.7208626324446813
44,3567,['David Gordon Green'],"['Al Pacino', 'Holly Hunter', 'Harmony Korine', 'Chris Messina', 'Skylar Gasper', 'Brian Mays', 'Herc Trevino', 'Angela Woods', 'Marisa Varela', 'Sandy Avila']",['Paul Brad Logan'],"['Molly Conners', 'David Gordon Green', 'Lisa Muskat', 'Derrick Tseng', 'Christopher Woodrow']",2015,Drama," PG-13
",97.0,4000000.0,143101.0,459636.0,Manglehorn,-3540364.0,-36498.59793814433,-0.885091,1,Drama,-0.7816734839615672
45,3601,['Claudia Llosa'],"['Jennifer Connelly', 'Cillian Murphy', 'Mélanie Laurent', 'William Shimell', 'Peter McRobbie', 'Andy Murray', 'Ian Tracey', 'Oona Chaplin', 'Winta McGrath', 'Zen McGrath']",['Claudia Llosa'],"['Ibon Cormenzana', 'Phyllis Laing', 'José María Morales']",2015,Drama," R
",112.0,8000000.0,53086.0,270971.0,Aloft,-7729029.0,-69009.1875,-0.966128625,1,Drama,-0.81764848227752
46,3779,['Timothy Hines'],"['Caroline Barry', 'Christopher Lambert', 'Kelly LeBrock', 'Julia Chantrey', 'Sasha Kerbel', 'David Mitchum Brown', 'Natalia Davidenko', 'Jessa Campbell', 'Andi Morrow', 'Susan Goforth']",['Timothy Hines'],"['Susan Goforth', 'Andrew Malcolm', 'Martin Wiley']",2015,Drama," R
",111.0,120000.0,14616.0,14616.0,10 Days in a Madhouse,-105384.0,-949.4054054054054,-0.8782,1,Drama,-0.7786143652695371
47,3878,['Charlie Levi'],"['Barbara Hershey', 'Joe Mantegna', 'Diane Venora', 'James Naughton', 'Natalie Dreyfuss', 'Jordan Baker', 'Randy Crowder', 'Amanda Kinsley', 'William Trump', 'Scott F. Anderson']",['Charlie Levi'],['Graham Leader'],2015,Drama," R
",90.0,1000000.0,1036.0,1036.0,Childless,-998964.0,-11099.6,-0.998964,1,Drama,-0.8322250763019461
50,4102,['Jorge Ramírez Suárez'],"['Kristyan Ferrer', 'Ingeborg Schöner', 'Adriana Barraza', 'Arcelia Ramírez', 'Rüdiger Evers', 'Hector Kotsifakis', 'Marcel Batangtaris', 'Andreas Berg', 'Marius Biegai', 'Jorge de los Reyes']",['Jorge Ramírez Suárez'],['Jorge Ramírez Suárez'],2014,Drama," PG-13
",120.0,4000000.0,154356.0,5104868.0,"Buen Día, Ramón",1104868.0,9207.233333333334,0.276217,1,Drama,-0.2661345186438829
